FECHA,INPC,INTERES,RESERVA,OFERTA,IPC,CRUDO,IIP,YEN,LIBRA,EURO,DÓLAR
01/01/2000,0.40,-1.07,0.64,1.04,1.32,0.22,0.05,-2.41,2.75,2.25,2.25
01/02/2000,0.40,-1.00,0.62,1.04,1.19,0.20,0.06,-2.46,2.70,2.21,2.24
01/03/2000,0.40,-0.85,0.60,1.01,1.26,0.08,0.02,-2.42,2.70,2.18,2.23
01/04/2000,0.39,-0.77,0.49,1.02,1.35,0.20,0.11,-2.43,2.69,2.14,2.24
01/05/2000,0.39,-0.82,0.51,0.99,1.44,0.17,0.05,-2.42,2.65,2.18,2.25
01/06/2000,0.39,-0.90,0.56,0.94,1.31,0.20,0.05,-2.37,2.70,2.24,2.29
01/07/2000,0.39,-0.74,0.56,0.94,1.35,0.12,0.04,-2.46,2.64,2.16,2.24
01/08/2000,0.39,-0.86,0.50,0.96,1.39,0.26,0.00,-2.45,2.59,2.11,2.23
01/09/2000,0.38,-0.85,0.58,0.95,1.39,0.10,0.02,-2.44,2.63,2.12,2.24
01/10/2000,0.38,-0.91,0.52,0.95,1.37,0.22,0.04,-2.43,2.63,2.08,2.25
01/11/2000,0.37,-0.99,0.52,0.89,1.41,0.25,0.07,-2.47,2.59,2.10,2.25
01/12/2000,0.36,-1.01,0.55,0.76,1.42,0.34,0.10,-2.48,2.66,2.19,2.25
01/01/2001,0.36,-1.08,0.51,0.86,1.31,0.35,0.04,-2.49,2.65,2.20,2.28
01/02/2001,0.37,-1.11,0.42,0.88,1.29,0.27,0.08,-2.49,2.64,2.19,2.27
01/03/2001,0.36,-1.10,0.34,0.90,1.27,0.38,0.03,-2.58,2.61,2.12,2.26
01/04/2001,0.36,-1.13,0.34,0.91,1.30,0.43,0.11,-2.59,2.58,2.11,2.23
01/05/2001,0.36,-1.06,0.34,0.90,1.21,0.35,0.05,-2.56,2.57,2.05,2.21
01/06/2001,0.36,-0.86,0.32,0.88,1.18,0.31,0.05,-2.62,2.54,2.04,2.21
01/07/2001,0.36,-0.91,0.35,0.88,1.19,0.28,0.02,-2.61,2.57,2.08,2.22
01/08/2001,0.35,-0.71,0.38,0.87,1.15,0.29,-0.01,-2.56,2.60,2.13,2.21
01/09/2001,0.35,-1.02,0.42,0.86,1.22,0.12,0.01,-2.52,2.64,2.17,2.24
01/10/2001,0.34,-1.17,0.39,0.83,1.22,0.23,0.02,-2.58,2.60,2.13,2.23
01/11/2001,0.34,-1.25,0.37,0.78,1.24,0.32,0.03,-2.59,2.58,2.11,2.22
01/12/2001,0.34,-1.26,0.36,0.68,1.16,0.33,0.05,-2.66,2.59,2.10,2.21
